stratum,estimate,param1,param2
m0,-0.1908951637792362,-4,-6
m0,-0.22105169366788419,-4,-4
m0,-0.25869551402375845,-4,-2
m0,-0.30243132208579043,-4,0
m0,-0.3451985308310652,-4,2
m0,-0.37676073218668715,-4,4
m0,-0.3894001129906021,-4,6
m0,-0.1141180398361606,-2,-6
m0,-0.12842427991342054,-2,-4
m0,-0.14584623814476483,-2,-2
m0,-0.16670670897525067,-2,0
m0,-0.18820369705534848,-2,2
m0,-0.20187419945214924,-2,4
m0,-0.1985833313796782,-2,6
m0,-0.03572365577613983,0,-6
m0,-0.03470039937599053,0,-4
m0,-0.03149622153484042,0,-2
m0,-0.023982791172909582,0,0
m0,-0.007852645839053242,0,2
m0,0.022333997922769827,0,4
m0,0.06415697441920014,0,6
m0,0.10148158100632361,2,-6
m0,0.12309998692841612,2,-4
m0,0.1522862922629934,2,-2
m0,0.19374295931290017,2,0
m0,0.2529277077048562,2,2
m0,0.3295782167414507,2,4
m0,0.4074107235338607,2,6
m0,0.30401609646037314,4,-6
m0,0.3459356954456672,4,-4
m0,0.3993679970642088,4,-2
m0,0.46664098754645345,4,0
m0,0.5485944410374982,4,2
m0,0.635968333664784,4,4
m0,0.707195243912351,4,6
m1,0.26402136546882465,-4,-6
m1,-0.059823522176417177,-4,-4
m1,-0.4604695035300506,-4,-2
m1,-0.7095358079780276,-4,0
m1,-0.8176008143156576,-4,2
m1,-0.8682257680570679,-4,4
m1,-0.896264546601679,-4,6
m1,0.5137129797863854,-2,-6
m1,0.3019409425323335,-2,-4
m1,-0.06400094553490447,-2,-2
m1,-0.4496333717458272,-2,0
m1,-0.6668425113812463,-2,2
m1,-0.7696883693862475,-2,4
m1,-0.8253124253937325,-2,6
m1,0.6846836940231404,0,-6
m1,0.5602088713609501,0,-4
m1,0.32026116491799284,0,-2
m1,-0.06340780690179221,0,0
m1,-0.40743152480542666,0,2
m1,-0.5979284022953433,0,4
m1,-0.701989012147329,0,6
m1,0.7944686542691747,2,-6
m1,0.721986030979811,2,-4
m1,0.5821138857620836,2,-2
m1,0.31326759181195074,2,0
m1,-0.05943689190611967,2,2
m1,-0.34496190481734434,2,4
m1,-0.5101723314812177,2,6
m1,0.8628313289632972,4,-6
m1,0.8198580093264668,4,-4
m1,0.7389488028037969,4,-2
m1,0.5767039046524223,4,0
m1,0.28468089346090864,4,2
m1,-0.05284748087261748,4,4
m1,-0.2756745881614868,4,6
